id,title,description,created_by,category,location_add,gps_coord,photo_url,start_datetime,end_datetime,tags,age_limit,status,tickets
1,Introduction to AI Programming with Python,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec pellentesque mauris vitae augue ornare tempor. Nam est massa, mollis eget mattis ut, tristique luctus nunc. Aliquam at finibus ligula, non convallis orci. Etiam gravida tortor vitae massa varius iaculis. Integer sagittis urna dui, id molestie augue viverra sit amet. Donec venenatis enim ut euismod blandit. Duis ut erat dui. Cras vel risus nisl. Maecenas vitae lacus quis nisi pulvinar pharetra et et mauris. Pellentesque arcu lorem, tempus at ligula nec, euismod dapibus dolor. Nullam vitae euismod metus, id auctor ante. Nullam in lorem justo.",11,Corporate,"187 Liverpool Street, Sydney NSW","lat: -33.8771118, lng: 151.2114875",https://images.unsplash.com/photo-1629904869392-ae2a682d4d01?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1752&q=80,2022-12-18T14:00,2022-12-18T17:00,"photography, blogging, postaday",0,Ticket Available,"[{""ticket_type"":""VIP"",""total_number"":""100"",""price"":""1000""},{""ticket_type"":""Gold"",""total_number"":""200"",""price"":""800""},{""ticket_type"":""Silver"",""total_number"":""300"",""price"":""500""},{""ticket_type"":""General"",""total_number"":""500"",""price"":""200""},{""ticket_type"":""Standing"",""total_number"":""150"",""price"":""90""}]"
2,Snyk Event,"Morbi laoreet lobortis ante, vel lobortis nulla condimentum eu. Aliquam condimentum, mi sed dictum aliquet, ex sem finibus ligula, nec suscipit nisl felis nec turpis. Curabitur a dui vel eros dictum pharetra sit amet sed justo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Nunc condimentum sem sit amet ipsum porta, nec suscipit purus laoreet. Donec aliquam mauris in eleifend venenatis. Morbi fringilla fringilla tincidunt.",4,Fundraising,"The Entertainment Quarter, Lang Road, Moore Park NSW","lat: -33.8947654, lng: 151.2270419",https://images.unsplash.com/photo-1556761175-5973dc0f32e7?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1932&q=80,2022-12-20T15:00,2022-12-20T20:00,"food, long-reads, postaday, life, technology",18,Ticket Available,"[{""ticket_type"":""Silver"",""total_number"":""5"",""price"":""100""}]"
3,Build.io Test,"Fusce lobortis purus non mi molestie, sit amet tempor felis ultricies. Duis et nunc quis augue congue eleifend. Donec tincidunt mauris et porta sollicitudin. Aliquam ipsum sem, condimentum ut dolor sit amet, aliquet pellentesque nulla. Donec non imperdiet felis, iaculis molestie erat. Vestibulum et placerat augue. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Praesent libero dolor, interdum varius sagittis in, viverra venenatis sapien. Etiam eget pharetra tortor. Vivamus venenatis nisi quis lectus vulputate, id vestibulum sem sollicitudin. Donec sollicitudin, tellus volutpat porta condimentum, dolor arcu dignissim purus, vitae malesuada diam tortor id massa.",2,Conferences and Workshops,"Sydney Opera House, Sydney NSW","lat: -33.8567844, lng: 151.2152967",https://images.unsplash.com/photo-1563986768609-322da13575f3?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2022-12-29T03:00,2022-12-29T07:00,"food, postaday",0,Ticket Available,"[{""ticket_type"":""Gold"",""total_number"":""5"",""price"":""200""},{""ticket_type"":""Silver"",""total_number"":""5"",""price"":""100""}]"
4,Intro to Data Analytics: Tableau Basics,"Maecenas vitae metus in ex blandit interdum. Proin mattis malesuada nisl, sit amet commodo leo accumsan a. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Pellentesque placerat volutpat arcu, eget consequat orci facilisis a. Fusce in pulvinar neque. Aenean sit amet venenatis sapien. Quisque a tellus id enim egestas gravida nec et nisl. Nulla sed mi eu tellus tempor laoreet quis at neque. Maecenas et ex fringilla, imperdiet nunc id, tristique arcu. Suspendisse aliquam tellus vel leo ultricies, ut rhoncus neque tempus. In tempus luctus tincidunt. Aliquam fermentum consequat tincidunt. Fusce ut ultrices nisl. Suspendisse congue sollicitudin pulvinar. Integer eget turpis mi.",8,Conferences and Workshops,"Mable Technologies Pty Ltd, Kent Street, Sydney NSW","lat: -33.8734244, lng: 151.2049084",https://images.unsplash.com/photo-1515187029135-18ee286d815b?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2023-01-10T10:00,2023-01-10T12:00,"entertainment, art, technology",18,Sold Out,"[{""ticket_type"":""VIP"",""total_number"":""0"",""price"":""100"",""sold"":""200""},{""ticket_type"":""Standing"",""total_number"":""0"",""price"":""50"",""sold"":""100""}]"
5,IOTA Course for Managers,"Vestibulum nec erat porttitor, faucibus ante ac, viverra nisl. Donec vitae lorem diam. Etiam eget lorem nec erat tempor tempor ac sit amet diam. Nullam rutrum justo id quam varius tempus. Nam vitae dignissim lacus, ac sodales enim. Sed molestie rhoncus augue, sit amet accumsan orci euismod at. Etiam pretium dolor non neque aliquet dictum eget sed lectus.",1,Corporate,"128 Banks Avenue, Eastgardens NSW","lat: -33.9432563, lng: 151.2230953",https://images.unsplash.com/photo-1531058020387-3be344556be6?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2022-12-18T14:00,2022-12-18T17:00,"entertainment, technology",22,Sold Out,"[{""ticket_type"":""Standing"",""total_number"":""0"",""price"":""50"",""sold"":""100""}]"
6,MS Excel Macros and VBA 1-Day Course,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec pellentesque mauris vitae augue ornare tempor. Nam est massa, mollis eget mattis ut, tristique luctus nunc. Aliquam at finibus ligula, non convallis orci. Etiam gravida tortor vitae massa varius iaculis. Integer sagittis urna dui, id molestie augue viverra sit amet. Donec venenatis enim ut euismod blandit. Duis ut erat dui. Cras vel risus nisl. Maecenas vitae lacus quis nisi pulvinar pharetra et et mauris. Pellentesque arcu lorem, tempus at ligula nec, euismod dapibus dolor. Nullam vitae euismod metus, id auctor ante. Nullam in lorem justo.",10,Conferences and Workshops,"University of Technology Sydney, Broadway, Ultimo NSW","lat: -33.8840838, lng: 151.2012416",https://images.unsplash.com/photo-1580894896813-652ff5aa8146?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2023-01-10T10:00,2023-01-10T12:00,"technology, humor, memorial-day, food",22,Ticket Available,"[{""ticket_type"":""VIP"",""total_number"":""100"",""price"":""1000""},{""ticket_type"":""Gold"",""total_number"":""200"",""price"":""800""},{""ticket_type"":""Silver"",""total_number"":""300"",""price"":""500""},{""ticket_type"":""General"",""total_number"":""500"",""price"":""200""},{""ticket_type"":""Standing"",""total_number"":""150"",""price"":""90""}]"
7,"Android Studio Taster Session, Create an app in 1 Hour","Morbi laoreet lobortis ante, vel lobortis nulla condimentum eu. Aliquam condimentum, mi sed dictum aliquet, ex sem finibus ligula, nec suscipit nisl felis nec turpis. Curabitur a dui vel eros dictum pharetra sit amet sed justo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Nunc condimentum sem sit amet ipsum porta, nec suscipit purus laoreet. Donec aliquam mauris in eleifend venenatis. Morbi fringilla fringilla tincidunt.",8,Conferences and Workshops,"UNSW Sydney, Sydney NSW","lat: -33.917347, lng: 151.2312675",https://images.unsplash.com/photo-1607798748738-b15c40d33d57?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2022-09-10T10:00,2022-09-10T12:00,"technology, food, travel, entertainment",18,Finished,"[{""ticket_type"":""Silver"",""total_number"":""5"",""price"":""100""}]"
8,Unlocking value through data products,"Fusce lobortis purus non mi molestie, sit amet tempor felis ultricies. Duis et nunc quis augue congue eleifend. Donec tincidunt mauris et porta sollicitudin. Aliquam ipsum sem, condimentum ut dolor sit amet, aliquet pellentesque nulla. Donec non imperdiet felis, iaculis molestie erat. Vestibulum et placerat augue. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Praesent libero dolor, interdum varius sagittis in, viverra venenatis sapien. Etiam eget pharetra tortor. Vivamus venenatis nisi quis lectus vulputate, id vestibulum sem sollicitudin. Donec sollicitudin, tellus volutpat porta condimentum, dolor arcu dignissim purus, vitae malesuada diam tortor id massa.",12,Networking,"Sydney University, Camperdown NSW","lat: -33.8851591, lng: 151.1800997",https://images.unsplash.com/photo-1580894742597-87bc8789db3d?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2022-08-10T14:00,2022-08-10T16:00,"blogging, life",0,Finished,"[{""ticket_type"":""Gold"",""total_number"":""5"",""price"":""200""},{""ticket_type"":""Silver"",""total_number"":""5"",""price"":""100""}]"
9,SQL for Data Analysis,"Maecenas vitae metus in ex blandit interdum. Proin mattis malesuada nisl, sit amet commodo leo accumsan a. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Pellentesque placerat volutpat arcu, eget consequat orci facilisis a. Fusce in pulvinar neque. Aenean sit amet venenatis sapien. Quisque a tellus id enim egestas gravida nec et nisl. Nulla sed mi eu tellus tempor laoreet quis at neque. Maecenas et ex fringilla, imperdiet nunc id, tristique arcu. Suspendisse aliquam tellus vel leo ultricies, ut rhoncus neque tempus. In tempus luctus tincidunt. Aliquam fermentum consequat tincidunt. Fusce ut ultrices nisl. Suspendisse congue sollicitudin pulvinar. Integer eget turpis mi.",4,Conferences and Workshops,"565 George Street, Sydney NSW","lat: -33.8765789, lng: 151.2058274",https://images.unsplash.com/photo-1504639725590-34d0984388bd?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1974&q=80,2022-07-12T18:00,2022-07-12T20:00,"blogging, life, long-reads",0,Finished,"[{""ticket_type"":""VIP"",""total_number"":""200"",""price"":""100""},{""ticket_type"":""Standing"",""total_number"":""10"",""price"":""50""}]"
10,IBMs Quantum Computers Programming,"Vestibulum nec erat porttitor, faucibus ante ac, viverra nisl. Donec vitae lorem diam. Etiam eget lorem nec erat tempor tempor ac sit amet diam. Nullam rutrum justo id quam varius tempus. Nam vitae dignissim lacus, ac sodales enim. Sed molestie rhoncus augue, sit amet accumsan orci euismod at. Etiam pretium dolor non neque aliquet dictum eget sed lectus.",9,Hackathons,"Atlassian, George Street, Sydney NSW","lat: -33.8682403, lng: 151.2065887",https://images.unsplash.com/photo-1519397154350-533cea5b8bff?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2023-04-12T07:00,2023-04-12T10:00,"photography, blogging, postaday",0,Postponed,"[{""ticket_type"":""Standing"",""total_number"":""10"",""price"":""50""}]"
